,year,importer,supply_concentration
0,1990,AUS,0.14176636902435283
1,1990,BGD,0.2533399971481344
2,1990,BRA,0.24199942136594443
3,1990,CAN,0.30700573085379707
4,1990,CHE,0.17255753038613408
5,1990,CHL,0.25785180029641414
6,1990,CYP,0.1514931433662908
7,1990,DEU,0.11055744424192751
8,1990,DNK,0.13720881079566272
9,1990,ESP,0.13971130032713844
10,1990,FIN,0.141275197183109
11,1990,GRC,0.37492573077659697
12,1990,IDN,0.49511277083826893
13,1990,IND,0.15781114005265331
14,1990,ISL,0.16107581532646026
15,1990,JPN,0.2053002745374376
16,1990,KOR,0.48635759502898684
17,1990,LKA,0.15615928899609172
18,1990,MDG,0.3618590718533805
19,1990,MEX,0.4301244159896821
20,1990,MWI,0.18441814644788262
21,1990,MYS,0.2744166837982159
22,1990,NZL,0.12306143973031196
23,1990,PRT,0.2277434359568155
24,1990,PRY,0.13105106510778655
25,1990,ROU,0.36446753183054686
26,1990,SGP,0.2162798479062364
27,1990,THA,0.31896581402534013
28,1990,TUR,0.19648428436239276
29,1991,AUS,0.16757571786928974
30,1991,BGD,0.19141503631969967
31,1991,BRA,0.2678881485022902
32,1991,CAN,0.3111718861136861
33,1991,CHE,0.17666216604029936
34,1991,CHL,0.23768670812583295
35,1991,COL,0.23305595317038086
36,1991,CYP,0.18882807631155013
37,1991,DEU,0.12735876997952505
38,1991,DNK,0.13931941296026565
39,1991,ECU,0.3597382500062429
40,1991,ESP,0.15097981147995904
41,1991,FIN,0.1457124168133387
42,1991,GUY,0.503461216323368
43,1991,IDN,0.3738422221098619
44,1991,IND,0.15566456056101888
45,1991,ISL,0.14030066160007598
46,1991,JAM,0.6599312643724025
47,1991,JPN,0.18438313440042053
48,1991,KOR,0.5472350944094304
49,1991,LKA,0.3205380916567258
50,1991,MAC,0.6000379780134517
51,1991,MDG,0.49229265780924264
52,1991,MEX,0.4705936245818804
53,1991,MWI,0.2295049181895935
54,1991,MYS,0.2276402678928914
55,1991,NZL,0.1279365271746282
56,1991,OMN,0.9891143069461366
57,1991,PRT,0.3184879704390068
58,1991,PRY,0.3160080545844753
59,1991,ROU,0.2684932474664804
60,1991,SAU,0.2634726033671299
61,1991,SGP,0.24157558562578813
62,1991,THA,0.3547658770127136
63,1991,TTO,0.4000730725145725
64,1991,TUN,0.14053380121147788
65,1991,TUR,0.19783251736422391
66,1991,USA,0.1557323350179513
67,1992,AUS,0.1387211359112152
68,1992,BGD,0.2341288226228677
69,1992,BLZ,0.9063393232501027
70,1992,BOL,0.5028412062450307
71,1992,BRA,0.27425677499824347
72,1992,BRN,0.2856813037609008
73,1992,CAN,0.2831749119817473
74,1992,CHE,0.177705601058414
75,1992,CHL,0.2734706439219812
76,1992,CHN,0.574280588907612
77,1992,COL,0.1839375129519567
78,1992,CYP,0.24516154489989406
79,1992,DEU,0.11716589522911698
80,1992,DNK,0.14116775114722474
81,1992,DZA,0.1010406874465135
82,1992,ECU,0.2941562154300713
83,1992,ESP,0.1560273429079393
84,1992,FIN,0.13902693476783126
85,1992,GRC,0.4568669763488903
86,1992,GUY,0.49520090171264103
87,1992,HRV,0.25218788213659543
88,1992,HUN,0.2675739731465062
89,1992,IDN,0.2632059565685711
90,1992,IND,0.13341128387188841
91,1992,IRL,0.24831233598999428
92,1992,ISL,0.15779150794804095
93,1992,JAM,0.8249713470598034
94,1992,JPN,0.17318927537365325
95,1992,KEN,0.4631718748351414
96,1992,KOR,0.5393726160643139
97,1992,LCA,0.6118010951233798
98,1992,LKA,0.16535179783468476
99,1992,MAC,0.9112991393929748
100,1992,MDG,0.30830788369757794
101,1992,MEX,0.8546382573445761
102,1992,MMR,0.22148069633751752
103,1992,MYS,0.24873867161884605
104,1992,NLD,0.5072777957883617
105,1992,NZL,0.18114021782033568
106,1992,OMN,0.44740659996208354
107,1992,PER,0.28057535370018966
108,1992,PRT,0.29943120682721097
109,1992,PRY,0.5484295506109591
110,1992,ROU,0.21971993403631784
111,1992,SAU,0.26437851467981033
112,1992,SCG,0.20986482125569222
113,1992,SGP,0.26371749066792227
114,1992,SWE,0.13545516890876655
115,1992,THA,0.36776805580938343
