,importer,baseline_supply,imports_china,after_shock_imports,new_baseline_supply,absolute_loss,loss_percent,absolute_loss_100m,supply_concentration,vulnerability_type,china_share,china_loss,replacement,adjusted_loss,Region Name
10,BFA,65632048.822000004,44811716.92,26887030.152,47707362.054000005,17924686.768,0.2731087493034593,0.18,0.49139799817001045,China dependent,0.6827718732586483,0.27310874930345935,0.13890365661302417,0.13420509269043518,Africa
11,BGR,750809405.4169999,592215996.443,355329597.86579996,513923006.83979994,236886398.5772,0.3155080328883642,2.37,0.6270278676858553,Highly vulnerable,0.7887700822209105,0.3155080328883642,0.1176757037886145,0.1978323290997497,Europe
12,BHR,7205308.8379999995,6805703.251,4083421.9506,4483027.537599999,2722281.3004,0.37781604669642893,0.03,0.8925361905690379,Highly vulnerable,0.9445401167410724,0.377816046696429,0.04060155164214453,0.33721449505428447,Asia
13,BHS,9273058.0,2646924.0,1588154.4,8214288.4,1058769.5999999996,0.1141769629824379,0.01,0.5293333031688421,Resilient,0.28544240745609484,0.11417696298243794,0.05373929402115746,0.060437668961280486,Americas
14,BIH,155510080.801,141134240.539,84680544.3234,99056384.5854,56453696.2156,0.3630227437656696,0.56,0.8255547063332628,Highly vulnerable,0.9075568594141741,0.3630227437656697,0.06332760914390695,0.2996951346217627,Europe
15,BLZ,4792423.08,3507958.08,2104774.8479999998,3389239.8479999998,1403183.2320000003,0.292792019522617,0.01,0.5899840907657014,Highly vulnerable,0.7319800488065423,0.29279201952261696,0.12004938610111232,0.17274263342150464,Americas
16,BMU,1698180.1700000002,556.44,333.86400000000003,1697957.5940000003,222.57599999988452,0.00013106736489561322,0.0,0.9820388975927358,Concentrated but safe,0.0003276684122392031,0.00013106736489568125,2.3541143631415995e-06,0.00012871325053253965,Americas
17,BOL,6691976.0,5649568.0,3389740.8,4432148.8,2259827.2,0.33769206584124034,0.02,0.7170852911411792,Highly vulnerable,0.8442301646031007,0.33769206584124034,0.09553805249140825,0.2421540133498321,Americas
18,BRA,6562432748.0,6207360570.0,3724416342.0,4079488520.0,2482944228.0,0.37835728354804316,24.83,0.8950570404885628,Highly vulnerable,0.9458932088701079,0.37835728354804316,0.039705933088239644,0.3386513504598035,Americas
19,BRB,6773050.0,2154306.5,1292583.9,5911327.4,861722.5999999996,0.12722814684669384,0.01,0.2527863676524259,Resilient,0.3180703671167347,0.1272281468466939,0.0950666057421687,0.032161541104525196,Americas
20,BRN,3601223.278,3374975.046,2024985.0276,2251233.2595999995,1349990.0184000004,0.37486984676766283,0.01,0.8794640163824468,Highly vulnerable,0.9371746169191568,0.3748698467676628,0.0451853057087017,0.32968454105896106,Asia
21,CAF,1835327.6900000002,1647186.99,988312.1939999999,1176452.894,658874.7960000001,0.3589957257169699,0.01,0.8082834908244655,Highly vulnerable,0.8974893142924247,0.3589957257169699,0.06882540734339514,0.29017031837357476,Africa
22,CAN,1035990966.127,193772321.211,116263392.72659999,958482037.6426,77508928.48439991,0.07481622042918303,0.78,0.11427656508449437,Resilient,0.18704055107295775,0.07481622042918311,0.0662664797459317,0.008549740683251414,Americas
23,CHE,1184005432.841,463172739.562,277903643.73719996,998736337.0162001,185269095.8248,0.15647655887883055,1.85,0.2089924250443671,Resilient,0.39119139719707635,0.15647655887883055,0.12377414337614606,0.03270241550268449,Europe
24,CHL,87546722.563,78233183.352,46939910.011199996,56253449.22219999,31293273.340800002,0.35744654311051877,0.31,0.8000990703367583,Highly vulnerable,0.8936163577762968,0.3574465431105187,0.0714538962727047,0.285992646837814,Americas
25,CHN,23866558069.0,8914592110.0,5348755266.0,20300721225.0,3565836844.0,0.14940725150609901,35.66,0.18965553197853038,Resilient,0.37351812876524754,0.14940725150609901,0.12107133974025973,0.028335911765839286,Asia
26,CIV,28111446.832000002,25368407.151,15221044.2906,17964083.971600004,10147362.860399999,0.3609690714619849,0.1,0.8162673849344897,Highly vulnerable,0.9024226786549625,0.36096907146198504,0.06632179145747957,0.29464728000450546,Africa
27,COL,387621597.15999997,375498506.88,225299104.128,237422194.40799996,150199402.752,0.3874897679914405,1.5,0.9385191684993176,Highly vulnerable,0.9687244199786013,0.3874897679914405,0.02382319313412027,0.36366657485732024,Americas
28,CPV,5392109.919000001,119865.592,71919.3552,5344163.682200001,47946.23680000007,0.008891924964484401,0.0,0.37738081397918055,Resilient,0.022229812411210973,0.008891924964484389,0.005536283083545474,0.003355641880938915,Africa
29,CRI,118124029.01,8174211.76,4904527.056,114854344.306,3269684.704000011,0.027680098041044723,0.03,0.7499295950420272,Concentrated but safe,0.06920024510261157,0.027680098041044626,0.00692197332640042,0.020758124714644208,Americas
30,CYM,5816230.59,90282.26,54169.35599999999,5780117.686,36112.9040000001,0.006208987666701175,0.0,0.7597997390233772,Concentrated but safe,0.015522469166752895,0.006208987666701159,0.0014914004579422509,0.004717587208758908,Americas
31,CYP,60383085.599,24432491.862,14659495.1172,50610088.854200006,9772996.744799994,0.16184990627510834,0.1,0.23417306496250978,Resilient,0.4046247656877711,0.16184990627510845,0.12394901765877137,0.037900888616337086,Asia
32,CZE,1486296480.0,536242958.0,321745774.8,1271799296.8,214497183.20000005,0.14431655197084234,2.14,0.1934147649865592,Resilient,0.3607913799271058,0.14431655197084234,0.11640359998773131,0.02791295198311103,Europe
33,DEU,14914126066.885,6665606731.326,3999364038.7956,12247883374.354599,2666242692.530401,0.1787729754042021,26.66,0.2385389926985801,Resilient,0.446932438510505,0.178772975404202,0.13612864992955562,0.04264432547464639,Europe
34,DNK,257222068.803,121850990.348,73110594.2088,208481672.6638,48740396.1392,0.18948761420828578,0.49,0.31789451676692776,Resilient,0.4737190355207144,0.18948761420828578,0.1292505406562247,0.060237073552061066,Europe
35,DOM,400661132.828,315110272.104,189066163.26239997,274617023.9864,126044108.8416,0.31459030715542236,1.26,0.6494988834193571,Highly vulnerable,0.7864757678885558,0.31459030715542236,0.11026425392342294,0.20432605323199943,Americas
36,DZA,84560434.0,80858222.0,48514933.199999996,52217145.199999996,32343288.800000004,0.38248726112261916,0.32,0.9146035091674448,Highly vulnerable,0.9562181528065478,0.3824872611226191,0.032663069888026884,0.34982419123459224,Africa
37,ECU,30315396.876,23905969.044,14343581.4264,20753009.2584,9562387.617599998,0.3154300653464418,0.1,0.6302287640025521,Highly vulnerable,0.7885751633661048,0.3154300653464419,0.11663696513390957,0.19879310021253233,Americas
38,EGY,213919904.23000002,188386283.279,113031769.9674,138565390.9184,75354513.31160003,0.35225573600940474,0.75,0.7778855087987986,Highly vulnerable,0.8806393400235115,0.35225573600940463,0.07824110357643363,0.274014632432971,Africa
39,ESP,4257887912.979,2824339952.92,1694603971.752,3128151931.811,1129735981.1680002,0.26532778792140366,11.3,0.4657571714767997,Resilient,0.6633194698035091,0.26532778792140366,0.14174946790493453,0.12357832001646912,Europe
40,EST,219443780.72,118972645.18,71383587.108,171854722.648,47589058.072,0.2168621863689152,0.48,0.3339229375655751,Resilient,0.542155465922288,0.21686218636891522,0.14444692804971382,0.0724152583192014,Europe
41,FIN,169082941.943,81716176.252,49029705.7512,136396471.44219998,32686470.500800014,0.19331619219057022,0.33,0.25772548680725443,Resilient,0.48329048047642537,0.19331619219057017,0.1434936824505307,0.04982250974003946,Europe
42,FJI,3640391.9000000004,2694608.72,1616765.232,2562548.4120000005,1077843.488,0.29607897105803355,0.01,0.5902257633429644,Highly vulnerable,0.740197427645084,0.2960789710580336,0.12132553435550626,0.17475343670252735,Oceania
43,FRA,3818937322.4300003,2462965997.577,1477779598.5462,2833750923.3992004,985186399.0307999,0.2579739639203932,9.85,0.4271032857208337,Resilient,0.6449349098009831,0.25797396392039323,0.14779243629956548,0.11018152762082775,Europe
44,GBR,2651403028.179,1646867825.399,988120695.2393999,1992655898.0194,658747130.1596,0.24845228098424238,6.59,0.3968820161138469,Resilient,0.621130702460606,0.2484522809842424,0.1498460387991323,0.0986062421851101,Europe
45,GEO,31054559.366,22294147.057,13376488.234199999,22136900.5432,8917658.8228,0.2871610161232387,0.09,0.5268719997010579,China dependent,0.7179025403080967,0.2871610161232387,0.13586391732220018,0.1512970988010385,Asia
46,GMB,655601.7420000001,168142.583,100885.54980000001,588344.7088000001,67257.03319999995,0.10258824663098583,0.0,0.40398146963984066,Resilient,0.2564706165774648,0.10258824663098592,0.06114449598922579,0.04144375064176013,Africa
47,GRC,1983451037.939,1673221551.212,1003932930.7271999,1314162417.4541998,669288620.4848001,0.33743642151119424,6.69,0.7169905152530359,Highly vulnerable,0.8435910537779855,0.33743642151119424,0.09549770778674246,0.24193871372445178,Europe
48,GRD,2324199.272,1280059.2719999999,768035.5631999999,1812175.5631999997,512023.70880000014,0.22030112261389614,0.01,0.36430742790453413,Resilient,0.5507528065347401,0.22030112261389606,0.14004378726994618,0.08025733534394988,Americas
49,GTM,49391226.0,44808521.0,26885112.599999998,31467817.599999998,17923408.400000002,0.3628864851421182,0.18,0.8256245232602635,Highly vulnerable,0.9072162128552954,0.3628864851421182,0.06327850384906418,0.299607981293054,Americas
50,GUY,28883724.241999995,26225436.194,15735261.716399997,18393549.764399994,10490174.4776,0.36318635331472165,0.1,0.8266013622079936,Highly vulnerable,0.9079658832868039,0.3631863533147216,0.06297601892941906,0.30021033438530254,Americas
51,HKG,15602349909.18,9135619796.736,5481371878.0416,11948101990.4856,3654247918.694401,0.23421138097565292,36.54,0.3680848625850615,Resilient,0.5855284524391322,0.2342113809756529,0.14800171699337222,0.08620966398228067,Asia
52,HND,14301162.65,11875094.07,7125056.442,9551125.022,4750037.6280000005,0.33214345883969093,0.05,0.6956149860978199,Highly vulnerable,0.8303586470992272,0.33214345883969093,0.1010994913364375,0.23104396750325343,Americas
53,HRV,103026776.0,50312631.0,30187578.599999998,82901723.6,20125052.400000006,0.19533807793810812,0.2,0.28243208450305635,Resilient,0.4883451948452701,0.19533807793810806,0.14016833740322773,0.05516974053488033,Europe
54,HUN,2331066513.378,284884913.838,170930948.3028,2217112547.8427997,113953965.53520012,0.0488849052059295,1.14,0.2956447853024338,Resilient,0.12221226301482363,0.04888490520592945,0.03443233790179261,0.01445256730413684,Europe
55,IDN,1161869146.0,434998682.0,260999209.2,987869673.2,173999472.79999995,0.14975823516704345,1.74,0.20121223033283475,Resilient,0.37439558791760874,0.1497582351670435,0.11962504665837352,0.030133188508669986,Asia
56,IND,6147527492.924999,4448889141.351,2669333484.8106,4367971836.3846,1779555656.5403996,0.28947502204560055,17.8,0.5359382710025812,China dependent,0.7236875551140015,0.2894750220456006,0.13433427923204735,0.15514074281355325,Asia
57,IRL,339320704.281,95955648.222,57573388.9332,300938444.9922,38382259.2888,0.11311499358734882,0.38,0.2195713874574116,Resilient,0.28278748396837206,0.11311499358734883,0.08827817750313843,0.0248368160842104,Europe
58,ISL,3149226.321,128380.535,77028.321,3097874.107,51352.21400000015,0.01630629518671553,0.0,0.4721392155689931,Resilient,0.0407657379667887,0.016306295186715482,0.008607453768423187,0.007698841418292295,Europe
59,ISR,494091000.0,129688000.0,77812800.0,442215800.0,51875200.0,0.10499118583418844,0.52,0.1713544611168992,Resilient,0.2624779645854711,0.10499118583418846,0.08700047776354687,0.017990708070641584,Asia
60,ITA,1941544185.819,328937547.413,197362528.44779998,1809969166.8538,131575018.96519995,0.06776823310343451,1.32,0.15508884918190638,Resilient,0.16942058275858632,0.06776823310343454,0.05725813582033171,0.010510097283102829,Europe
61,JAM,17478138.58,12198907.62,7319344.572,12598575.531999998,4879563.048,0.27918093369414176,0.05,0.5024976887204272,China dependent,0.6979523342353543,0.2791809336941417,0.13889315977802466,0.14028777391611705,Americas
62,JOR,87390306.61,42399715.154,25439829.0924,70430420.5484,16959886.0616,0.19407056365287192,0.17,0.4125028391021149,Resilient,0.48517640913217985,0.19407056365287195,0.11401590515991458,0.08005465849295737,Asia
63,JPN,3305534261.095,1538004772.055,922802863.233,2690332352.273,615201908.822,0.18611270077055764,6.15,0.2535682820707106,Resilient,0.4652817519263941,0.18611270077055764,0.13892042296462712,0.04719227780593052,Asia
64,KAZ,32798069.0,20258518.52,12155111.112,24694661.592,8103407.408,0.24706964937478484,0.08,0.4171895077485647,Resilient,0.617674123436962,0.24706964937478482,0.14399478397250784,0.10307486540227698,Asia
65,KEN,45801166.912,43254975.222,25952985.1332,28499176.8232,17301990.088800002,0.3777630845529144,0.17,0.8923640945207134,Highly vulnerable,0.944407711382286,0.3777630845529144,0.04066087166250124,0.33710221289041314,Africa
66,KGZ,4269220.0,3679260.0,2207556.0,2797516.0,1471704.0,0.3447243290343435,0.01,0.7475040412135135,Highly vulnerable,0.8618108225858587,0.3447243290343435,0.0870414999765548,0.2576828290577887,Asia
67,KHM,289089012.65000004,282992030.1,169795218.06,175892200.61,113196812.04000002,0.3915638681745659,1.13,0.9584373806421701,Highly vulnerable,0.9789096704364146,0.3915638681745659,0.016274420007218966,0.37528944816734694,Asia
68,KOR,4644760889.0,1580442661.0,948265596.6,4012583824.6,632177064.4000001,0.13610540553274972,6.32,0.24777388566138422,Resilient,0.34026351383187425,0.13610540553274972,0.10238204034438185,0.03372336518836787,Asia
69,KWT,2537039.0,1348253.0,808951.7999999999,1997737.7999999998,539301.2000000002,0.2125711114413299,0.01,0.3064278820886509,Resilient,0.5314277786033246,0.21257111144132984,0.14743339596913255,0.0651377154721973,Asia
70,LBN,75141554.0,72891775.0,43735065.0,45984844.0,29156710.0,0.38802378242004415,0.29,0.9412219696737585,Highly vulnerable,0.9700594560501105,0.3880237824200442,0.022807273650388298,0.3652165087696559,Asia
71,LKA,47540350.222,24066820.022,14440092.0132,37913622.2132,9626728.0088,0.20249594215957392,0.1,0.3879793428468676,Resilient,0.5062398553989348,0.20249594215957392,0.12393169959134512,0.0785642425682288,Asia
72,LSO,741702.558,319356.71,191614.026,613959.874,127742.68400000001,0.1722289920968562,0.0,0.45500120655305915,Resilient,0.43057248024214045,0.1722289920968562,0.09386459288936934,0.07836439920748685,Africa
73,LTU,245799908.0,128926885.0,77356131.0,194229154.0,51570754.0,0.20980786534712617,0.52,0.31524601598517094,Resilient,0.5245196633678154,0.20980786534712617,0.14366677167409145,0.06614109367303472,Europe
74,LUX,47162614.256000005,30095487.78,18057292.668,35124419.14400001,12038195.111999996,0.25524868164975617,0.12,0.437130913477117,Resilient,0.6381217041243906,0.2552486816497563,0.14367159227636847,0.11157708937338781,Europe
75,LVA,157477620.483,44988763.173,26993257.9038,139482115.2138,17995505.269199997,0.11427341366986583,0.18,0.16785713905520258,Resilient,0.28568353417466463,0.11427341366986586,0.0950918053811705,0.019181608288695362,Europe
76,MAC,2812143.8310000002,773342.0390000001,464005.2234000001,2502807.0154000004,309336.81559999986,0.11000035353454858,0.0,0.5545253303881678,Concentrated but safe,0.2750008838363716,0.11000035353454865,0.049002371147987805,0.060997982386560845,Asia
77,MAR,1510669627.467,271030405.976,162618243.5856,1402257465.0765998,108412162.39040017,0.07176430929651982,1.08,0.31801972117933586,Resilient,0.17941077324129928,0.07176430929651971,0.04894184366341289,0.022822465633106817,Africa
78,MDA,102889694.0,95241186.0,57144711.6,64793219.6,38096474.4,0.3702652123739429,0.38,0.8575103832171539,Highly vulnerable,0.9256630309348572,0.37026521237394294,0.052758948219182256,0.3175062641547607,Europe
79,MDG,48203041.863,47383572.177,28430143.3062,29249612.9922,18953428.8708,0.39319985084485704,0.19,0.9663353574037611,Highly vulnerable,0.9829996271121427,0.3931998508448571,0.013236932447586563,0.37996291839727053,Africa
80,MDV,39567432.879,20574395.752,12344637.4512,31337674.578199998,8229758.300800003,0.20799323337369863,0.08,0.4180800632234687,Resilient,0.5199830834342464,0.20799323337369857,0.12103540921476899,0.08695782415892958,Asia
