typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20010101","2001","52","2001","12","DZA","Algeria","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","23","false",,"false",,"533","533","0","false","false",
"C","A","20010101","2001","52","2001","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","4","false",,"false",,"301","301","0","false","false",
"C","A","20010101","2001","52","2001","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","10489","true",,"false",,"411023","411023","4","false","false",
"C","A","20010101","2001","52","2001","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1134250","false",,"false",,"36003828","36003828","0","false","false",
"C","A","20010101","2001","52","2001","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1102201","true",,"false",,"339723468","339723468","4","false","false",
"C","A","20010101","2001","52","2001","44","BHS","Bahamas","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","3","true",,"false",,"1592","1592","4","false","false",
"C","A","20010101","2001","52","2001","50","BGD","Bangladesh","X","Export","0","W00","World","0","W00","World","H0","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","3548","true",,"false",,"320682","320682","4","true","false",
"C","A","20010101","2001","52","2001","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","4923","false",,"false",,"50638","50638","0","false","false",
"C","A","20010101","2001","52","2001","52","BRB","Barbados","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","10364","true",,"false",,"1113039","1113039","4","false","false",
"C","A","20010101","2001","52","2001","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","6860253","false",,"false",,"238230433","238230433","0","false","false",
"C","A","20010101","2001","52","2001","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","205","false","227","false","0","13234","13234","0","false","true",
"C","A","20010101","2001","52","2001","72","BWA","Botswana","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2409","2409","0","false","false",
"C","A","20010101","2001","52","2001","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","85167.727","true","0","false",,"13317295","13317295","6","false","true",
"C","A","20010101","2001","52","2001","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1318","false",,"false",,"230452","230452","0","false","false",
"C","A","20010101","2001","52","2001","112","BLR","Belarus","X","Export","0","W00","World","0","W00","World","H1","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","213526","true",,"false",,"6618700","6618700","4","false","false",
